iter	MultiClass
0	1.084148034
1	0.9444397792
2	0.8685271216
3	0.8249503448
4	0.7973286367
5	0.7802984077
6	0.7685792415
7	0.7597051661
8	0.7550675834
9	0.7507884025
10	0.7458298456
11	0.7411985086
12	0.7365860385
13	0.7325382921
14	0.7280910597
15	0.7258126207
16	0.7219223848
17	0.719412923
18	0.7174926753
19	0.7155461522
20	0.7130315109
21	0.7093065855
22	0.7064580637
23	0.70473081
24	0.7017088341
25	0.6979905814
26	0.6942618195
27	0.6914763957
28	0.6890416778
29	0.687532905
30	0.6855928423
31	0.6817157021
32	0.6800256264
33	0.678787835
34	0.67552959
35	0.6734331312
36	0.6690950287
37	0.6667375402
38	0.6645293305
39	0.6612575923
40	0.6590464105
41	0.6573770295
42	0.6557079483
43	0.6541156013
44	0.6522758385
45	0.6512206545
46	0.6490289207
47	0.6469177816
48	0.6451875414
49	0.6434288242
50	0.6424748207
51	0.6406721825
52	0.6383712678
53	0.6364016498
54	0.6335991671
55	0.6301803422
56	0.628665702
57	0.6258739228
58	0.6238371439
59	0.622573652
60	0.6195719236
61	0.6187329513
62	0.6165960945
63	0.6159295704
64	0.6143193686
65	0.61319952
66	0.6099875428
67	0.6086582688
68	0.6069191265
69	0.6050481964
70	0.6040756539
71	0.6018695467
72	0.600042372
73	0.5976767645
74	0.5953285836
75	0.5943809167
76	0.5924990407
77	0.5898216194
78	0.5886445794
79	0.5871270496
80	0.5846693298
81	0.5836465569
82	0.5810929052
83	0.5797869146
84	0.5790266288
85	0.5772699839
86	0.5762127614
87	0.5741622653
88	0.5727114412
89	0.5707507438
90	0.5692147228
91	0.5664863905
92	0.562887647
93	0.5622340297
94	0.5599769116
95	0.5584604786
96	0.5553685968
97	0.5538939378
98	0.5516670056
99	0.5505068426
100	0.5493481934
101	0.5478175984
102	0.5472555626
103	0.5454897137
104	0.5441732496
105	0.5433330734
106	0.5416534984
107	0.5397988823
108	0.538367745
109	0.5363860712
110	0.5346458292
111	0.5310855408
112	0.5290920172
113	0.5277823869
114	0.5259336903
115	0.5239754653
116	0.5224204406
117	0.5217567424
118	0.5202402
119	0.5196248445
120	0.518154382
121	0.5157936733
122	0.5149690566
123	0.5141482319
124	0.5113774953
125	0.5106778151
126	0.5088675846
127	0.5079535972
128	0.5070867688
129	0.50616095
130	0.5054239229
131	0.5040548735
132	0.5033368883
133	0.501624579
134	0.5006043661
135	0.4990269696
136	0.498169239
137	0.4965622268
138	0.4953805328
139	0.4935578767
140	0.4918113112
141	0.4905921432
142	0.4894504097
143	0.488426862
144	0.4870307208
145	0.4856332301
146	0.4844370598
147	0.4831311646
148	0.4824291577
149	0.4816914084
150	0.4805115306
151	0.4796832755
152	0.4785633854
153	0.4767200437
154	0.4751503078
155	0.4743706216
156	0.4731687997
157	0.472407889
158	0.4717175355
159	0.4706891209
160	0.4689350021
161	0.4667872805
162	0.4660469564
163	0.4645238311
164	0.4636761934
165	0.4628070478
166	0.4617984681
167	0.4598889815
168	0.4587189425
169	0.4576431815
170	0.4566444914
171	0.4549714275
172	0.4544269186
173	0.4535519444
174	0.4523906593
175	0.4508886482
176	0.4497171131
177	0.4487374713
178	0.4481453322
179	0.4462210468
180	0.4453242261
181	0.4443942503
182	0.443621368
183	0.4424566974
184	0.4414116961
185	0.4403153263
186	0.4390006916
187	0.4375874164
188	0.4360791606
189	0.4353778977
190	0.4342840533
191	0.4336098118
192	0.4324063322
193	0.4310412561
194	0.4301984115
195	0.4289511999
196	0.4277220793
197	0.4268106888
198	0.4259046514
199	0.4248774465
