iter	Passed	Remaining
0	426	84889
1	984	97433
2	1655	108739
3	2241	109855
4	3010	117422
5	3854	124628
6	4489	123789
7	5294	127056
8	5944	126162
9	6565	124737
10	6965	119673
11	7492	117380
12	7992	114967
13	8438	112113
14	8884	109574
15	9492	109158
16	9993	107581
17	10826	109470
18	11328	107920
19	11891	107025
20	12377	105507
21	12983	105044
22	13706	105481
23	14250	104502
24	14620	102344
25	15118	101175
26	15538	99562
27	16006	98328
28	16498	97286
29	17370	98431
30	17799	97037
31	18237	95744
32	18832	95304
33	19270	94086
34	19702	92884
35	20131	91709
36	20593	90721
37	21035	89679
38	21436	88493
39	21881	87526
40	22312	86527
41	22706	85418
42	23172	84607
43	23645	83835
44	24080	82943
45	24540	82156
46	25021	81451
47	25686	81341
48	26209	80768
49	26607	79822
50	27220	79527
51	27742	78958
52	28278	78433
53	28723	77660
54	29220	77034
55	29861	76786
56	30569	76691
57	31054	76029
58	31632	75596
59	32241	75230
60	32720	74559
61	33296	74111
62	33834	73577
63	34363	73023
64	34956	72602
65	35439	71953
66	35994	71451
67	36431	70719
68	36895	70047
69	37735	70081
70	38276	69544
71	38799	68977
72	39376	68503
73	39915	67964
74	40386	67310
75	40899	66731
76	41433	66186
77	41981	65663
78	42631	65296
79	43110	64665
80	43567	64006
81	44186	63584
82	44692	62999
83	45247	62484
84	45861	62047
85	46297	61371
86	46662	60607
87	47064	59900
88	47480	59216
89	48010	58678
90	48377	57946
91	48764	57245
92	49212	56620
93	49758	56111
94	50157	55437
95	50546	54759
96	50906	54055
97	51311	53406
98	51659	52703
99	52086	52086
100	52592	51551
101	52931	50855
102	53291	50187
103	53693	49563
104	54078	48928
105	54438	48275
106	54807	47636
107	55220	47039
108	55649	46459
109	56094	45895
110	56535	45330
111	56934	44734
112	57595	44343
113	58153	43870
114	58677	43370
115	59236	42895
116	59830	42443
117	60308	41908
118	60817	41397
119	61221	40814
120	61671	40264
121	62068	39682
122	62469	39106
123	63089	38667
124	63829	38297
125	64167	37685
126	64510	37080
127	64852	36479
128	65266	35922
129	65742	35399
130	66243	34891
131	66797	34410
132	67183	33844
133	67519	33256
134	68339	32904
135	68892	32420
136	69356	31893
137	69925	31415
138	70294	30848
139	70699	30299
140	71163	29777
141	71719	29294
142	72269	28806
143	72611	28237
144	73193	27763
145	73655	27242
146	74021	26687
147	74323	26113
148	74616	25539
149	75036	25012
150	75366	24456
151	75703	23906
152	76153	23393
153	76457	22837
154	76937	22336
155	77367	21821
156	77752	21295
157	78160	20776
158	78557	20256
159	79182	19795
160	79713	19309
161	80258	18825
162	80777	18335
163	81224	17829
164	81578	17304
165	82010	16797
166	82705	16343
167	83306	15867
168	83904	15390
169	84295	14875
170	84694	14363
171	85161	13863
172	85643	13366
173	85988	12848
174	86293	12327
175	86622	11812
176	86946	11298
177	87343	10795
178	87905	10312
179	88270	9807
180	88634	9304
181	89031	8805
182	89525	8316
183	89896	7817
184	90263	7318
185	90613	6820
186	90925	6321
187	91303	5827
188	91640	5333
189	91962	4840
190	92272	4347
191	92580	3857
192	92961	3371
193	93533	2892
194	93899	2407
195	94250	1923
196	94590	1440
197	94945	959
198	95295	478
199	95722	0
